horizon,domain,system,n,precision,recall,f1,recall_inconsistency,support_inconsistency,recall_goal_incompleteness,support_goal_incompleteness,recall_resource_infeasibility,support_resource_infeasibility
20,tools,llm_judge_zeroshot,40,0.967,0.967,0.967,0.966,29,1.0,13,,0
20,tools,llm_judge_cot,40,1.0,1.0,1.0,1.0,29,1.0,13,,0
20,tools,self_repair_detect,40,0.875,0.933,0.903,0.931,29,1.0,13,,0
40,ALL,hybrid,36,1.0,1.0,1.0,1.0,33,1.0,21,1.0,1
40,ALL,symbolic_extraction,36,1.0,1.0,1.0,1.0,33,1.0,21,1.0,1
40,ALL,learned_only,36,0.944,1.0,0.971,1.0,33,1.0,21,1.0,1
40,ALL,llm_judge_zeroshot,120,1.0,0.882,0.937,0.888,107,0.893,75,1.0,4
40,ALL,llm_judge_cot,120,1.0,0.927,0.962,0.925,107,0.96,75,1.0,4
40,ALL,self_repair_detect,120,0.969,0.855,0.908,0.86,107,0.893,75,1.0,4
40,blocksworld,hybrid,12,1.0,1.0,1.0,1.0,12,1.0,6,1.0,1
40,blocksworld,symbolic_extraction,12,1.0,1.0,1.0,1.0,12,1.0,6,1.0,1
40,blocksworld,learned_only,12,1.0,1.0,1.0,1.0,12,1.0,6,1.0,1
40,blocksworld,llm_judge_zeroshot,40,1.0,0.714,0.833,0.714,35,0.76,25,1.0,4
40,blocksworld,llm_judge_cot,40,1.0,0.886,0.939,0.886,35,0.88,25,1.0,4
40,blocksworld,self_repair_detect,40,0.926,0.714,0.806,0.714,35,0.72,25,1.0,4
40,logistics,hybrid,12,1.0,1.0,1.0,1.0,12,1.0,10,,0
40,logistics,symbolic_extraction,12,1.0,1.0,1.0,1.0,12,1.0,10,,0
40,logistics,learned_only,12,1.0,1.0,1.0,1.0,12,1.0,10,,0
40,logistics,llm_judge_zeroshot,40,1.0,0.975,0.987,0.975,40,0.968,31,,0
40,logistics,llm_judge_cot,40,1.0,1.0,1.0,1.0,40,1.0,31,,0
40,logistics,self_repair_detect,40,1.0,0.975,0.987,0.975,40,1.0,31,,0
40,tools,hybrid,12,1.0,1.0,1.0,1.0,9,1.0,5,,0
40,tools,symbolic_extraction,12,1.0,1.0,1.0,1.0,9,1.0,5,,0
40,tools,learned_only,12,0.833,1.0,0.909,1.0,9,1.0,5,,0
40,tools,llm_judge_zeroshot,40,1.0,0.943,0.971,0.969,32,0.947,19,,0
40,tools,llm_judge_cot,40,1.0,0.886,0.939,0.875,32,1.0,19,,0
40,tools,self_repair_detect,40,0.968,0.857,0.909,0.875,32,0.947,19,,0
80,ALL,hybrid,36,1.0,1.0,1.0,1.0,36,1.0,31,,0
80,ALL,symbolic_extraction,36,1.0,1.0,1.0,1.0,36,1.0,31,,0
80,ALL,learned_only,36,1.0,1.0,1.0,1.0,36,1.0,31,,0
80,ALL,llm_judge_zeroshot,120,1.0,0.842,0.914,0.842,120,0.845,97,1.0,2
80,ALL,llm_judge_cot,120,1.0,0.883,0.938,0.883,120,0.907,97,1.0,2
80,ALL,self_repair_detect,120,1.0,0.85,0.919,0.85,120,0.866,97,1.0,2
80,blocksworld,hybrid,12,1.0,1.0,1.0,1.0,12,1.0,11,,0
80,blocksworld,symbolic_extraction,12,1.0,1.0,1.0,1.0,12,1.0,11,,0
80,blocksworld,learned_only,12,1.0,1.0,1.0,1.0,12,1.0,11,,0
80,blocksworld,llm_judge_zeroshot,40,1.0,0.575,0.73,0.575,40,0.6,35,1.0,2
80,blocksworld,llm_judge_cot,40,1.0,0.725,0.841,0.725,40,0.743,35,1.0,2
80,blocksworld,self_repair_detect,40,1.0,0.625,0.769,0.625,40,0.629,35,1.0,2
80,logistics,hybrid,12,1.0,1.0,1.0,1.0,12,1.0,12,,0
80,logistics,symbolic_extraction,12,1.0,1.0,1.0,1.0,12,1.0,12,,0
80,logistics,learned_only,12,1.0,1.0,1.0,1.0,12,1.0,12,,0
80,logistics,llm_judge_zeroshot,40,1.0,0.975,0.987,0.975,40,0.974,39,,0
80,logistics,llm_judge_cot,40,1.0,1.0,1.0,1.0,40,1.0,39,,0
80,logistics,self_repair_detect,40,1.0,1.0,1.0,1.0,40,1.0,39,,0
80,tools,hybrid,12,1.0,1.0,1.0,1.0,12,1.0,8,,0
80,tools,symbolic_extraction,12,1.0,1.0,1.0,1.0,12,1.0,8,,0
80,tools,learned_only,12,1.0,1.0,1.0,1.0,12,1.0,8,,0
80,tools,llm_judge_zeroshot,40,1.0,0.975,0.987,0.975,40,1.0,23,,0
80,tools,llm_judge_cot,40,1.0,0.925,0.961,0.925,40,1.0,23,,0
80,tools,self_repair_detect,40,1.0,0.925,0.961,0.925,40,1.0,23,,0
